0R23XG5V,miser,34,7205,0.0,37,18
6BKQNSA,miser,11,6703,0.0,36,19
VBJUV4W6,miser,30,9485,0.0,51,27
0I4XJ2C,miser,35,5045,0.0,33,37
N0V5NKF,miser,49,1592,0.0,58,13
MXKH2M8F,miser,32,8534,0.0,79,43
X9C01MN,miser,24,3415,0.0,75,18
244AGN,miser,29,9755,0.0,35,6
25ADO,miser,29,8060,0.0,54,16
IEZ50SOH,miser,26,8182,0.0,77,10
JJO1T,miser,21,1211,0.0,46,50
PYA3CY9O,miser,44,6767,0.0,49,34
5NWSM2P7P,miser,49,9439,0.0,36,47
WI584O1,miser,37,3190,0.0,78,37
HR1DBDI0C,miser,9,6015,0.0,49,8
5SBE8F,miser,35,2567,0.0,78,40
PGC80C8,miser,32,1935,0.0,32,18
P4F6E2F,miser,11,3104,0.0,63,22
RHB6RF13E,miser,5,4077,0.0,80,19
XJFB8G5,miser,39,5235,0.0,80,49
W515TI0,generous,14,3881,0.0,58,9
1YIVFC,generous,12,7045,0.0,69,16
UW1ZEMK,generous,43,9711,0.0,30,13
WD5E2XY,generous,7,4444,0.0,27,7
1XLQAG,generous,19,4289,0.0,28,14
638RHQRU,generous,28,6205,0.0,44,30
Q8FB5,generous,39,9908,0.0,30,35
WXLQ3Y,generous,32,8505,0.0,40,23
VYDB4JF,generous,18,6111,0.0,58,7
V72IULBN,generous,38,6522,0.0,69,24
AGVDJUOF1,generous,10,8749,0.0,49,6
GUXOTF4K,generous,35,4153,0.0,29,29
UYNXWGXR,generous,5,5304,0.0,37,41
4KD5Z5E,generous,5,8671,0.0,29,40
G5TZWL8J,generous,17,6089,0.0,51,14
HQ2B5B77C,generous,35,4752,0.0,74,36
4VJ8ZOOP,generous,31,2342,0.0,33,28
74JRXH95,generous,50,3698,0.0,58,11
2M1N0,generous,42,8444,0.0,22,13
D5N7VOO8Y,generous,16,5642,0.0,34,10
BN6WG3W,geek,34,9227,0.0,52,40
CKHNYM,geek,6,3144,0.0,36,39
YYMXC,geek,31,1284,0.0,70,29
AB77MU,geek,40,2065,0.0,49,31
V64239UE,geek,6,9277,0.0,48,39
RPZQT6,geek,32,8950,0.0,65,10
PDJBM,geek,41,5087,0.0,30,38
9S0WB4G3,geek,45,9175,0.0,49,42
42PB6MZ3,geek,23,1573,0.0,23,20
8DQPV,geek,9,7232,0.0,69,50
POAHP0,geek,17,1606,0.0,32,27
SFTHRVPF,geek,30,9667,0.0,43,50
FHAR9LA0,geek,17,7531,0.0,57,10
39XYWXW,geek,17,7248,0.0,68,34
GL1F4A,geek,25,2272,0.0,28,14
50BD89D8,geek,16,9025,0.0,32,12
50USDLIB,geek,26,5914,0.0,72,19
LWDGTCH,geek,31,2644,0.0,54,15
2MHSYQQ,geek,17,6138,0.0,24,10
B4FFXJ04X,geek,16,2617,0.0,68,28
