2TDG5II,choosy,27,0.0,33,33,7558
UQ6TP,choosy,11,0.0,35,35,1934
DBE084H4,choosy,22,0.0,71,71,1648
UUE8X0,choosy,17,0.0,66,66,2301
71MVY7,choosy,27,0.0,77,77,4703
C5PGOB59L,normal,17,0.0,34,34,3480
L4RMF,normal,15,0.0,38,38,4699
7GIKO0AHD,normal,33,0.0,39,39,6237
PVGID4X,normal,28,0.0,56,56,7462
AWHPC7OJ,normal,31,0.0,50,50,5476
V4H0BN,desperate,16,0.0,74,74,4431
CLLFPB1M,desperate,41,0.0,67,67,2207
3Q0KL9J,desperate,35,0.0,59,59,7224
5J75GJH,desperate,31,0.0,73,73,3206
TD51MEB,desperate,9,0.0,50,50,8726
