5HM417KH,choosy,11,0,37,37,1115
KA4CARJN7,choosy,29,0,33,33,1870
9GCMP1ZS,choosy,39,0,23,23,4364
VT43XK,choosy,42,0,22,22,5324
SKS7DDPU,choosy,41,0,47,47,6494
GPV8X0ZF,normal,39,0,79,79,2801
6N3LQ5TX,normal,31,0,24,24,6672
PN6O694Q,normal,36,0,33,33,3651
16QO9G4QX,normal,34,0,27,27,7484
TDXZ2J,normal,19,0,80,80,3229
XJ02XB,desperate,38,0,78,78,2972
1L5J465,desperate,13,0,61,61,9234
XIW87G,desperate,45,0,26,26,4656
GBALQ,desperate,15,0,45,45,1419
UKDP0Y62,desperate,14,0,77,77,3254
